x,y,Distance
-18,0,35.21
-18,10,183.02
-18,20,36.98
-18,30,36.21
-18,40,37.52
-18,50,203.71
-12,0,37.57
-12,10,37.16
-12,20,37.21
-12,30,36.86
-12,40,38.22
-12,50,203.25
-6,0,37.69
-6,10,37.33
-6,20,37.40
-6,30,38.34
-6,40,39.19
-6,50,202.50
0,0,38.10
0,10,38.10
0,20,38.56
0,30,39.12
0,40,41.67
0,50,186.78
6,0,39.29
6,10,39.19
6,20,40.12
6,30,41.02
6,40,187.22
6,50,203.61
12,0,40.58
12,10,41.06
12,20,42.36
12,30,185.06
12,40,187.22
12,50,205.94
18,0,75.63
18,10,78.20
18,20,107.68
18,30,109.46
18,40,186.80
18,50,205.41
