x,y,Distance
-18,0,35.34
-18,10,35.80
-18,20,39.17
-18,30,188.89
-18,40,206.43
-18,50,204.75
-12,0,36.52
-12,10,37.81
-12,20,75.23
-12,30,41.11
-12,40,40.80
-12,50,206.82
-6,0,37.52
-6,10,73.44
-6,20,40.27
-6,30,38.69
-6,40,38.81
-6,50,206.01
0,0,38.74
0,10,40.00
0,20,39.24
0,30,39.36
0,40,40.00
0,50,205.63
6,0,38.71
6,10,39.58
6,20,41.41
6,30,41.51
6,40,190.67
6,50,207.49
12,0,39.63
12,10,40.04
12,20,43.52
12,30,188.75
12,40,190.96
12,50,207.69
18,0,40.78
18,10,41.67
18,20,111.98
18,30,112.56
18,40,189.98
18,50,208.79
