x,y,Distance
-18,0,35.56
-18,10,36.11
-18,20,36.62
-18,30,35.45
-18,40,36.74
-18,50,38.68
-12,0,35.97
-12,10,36.28
-12,20,38.15
-12,30,38.74
-12,40,186.24
-12,50,204.63
-6,0,36.47
-6,10,36.98
-6,20,37.81
-6,30,42.13
-6,40,187.97
-6,50,204.48
0,0,77.13
0,10,38.22
0,20,39.03
0,30,39.10
0,40,204.15
0,50,204.20
6,0,186.39
6,10,185.61
6,20,186.35
6,30,43.86
6,40,187.95
6,50,204.85
12,0,40.26
12,10,40.68
12,20,40.95
12,30,186.81
12,40,188.29
12,50,205.00
18,0,41.84
18,10,41.84
18,20,45.66
18,30,188.36
18,40,191.85
18,50,206.21
