x,y,Distance
-18,0,34.07
-18,10,34.03
-18,20,34.49
-18,30,34.90
-18,40,35.38
-18,50,35.92
-12,0,35.04
-12,10,34.97
-12,20,35.39
-12,30,35.85
-12,40,36.81
-12,50,38.56
-6,0,35.45
-6,10,35.45
-6,20,35.87
-6,30,36.74
-6,40,37.21
-6,50,202.18
0,0,36.57
0,10,36.47
0,20,36.99
0,30,37.45
0,40,39.64
0,50,203.18
6,0,37.23
6,10,37.28
6,20,38.17
6,30,39.46
6,40,43.30
6,50,203.80
12,0,38.57
12,10,38.57
12,20,40.60
12,30,43.13
12,40,187.29
12,50,203.59
18,0,39.88
18,10,39.88
18,20,42.01
18,30,185.49
18,40,205.16
18,50,205.60
