x,y,Distance
-18,0,35.21
-18,10,35.28
-18,20,35.28
-18,30,34.90
-18,40,35.43
-18,50,36.45
-12,0,35.97
-12,10,36.40
-12,20,35.97
-12,30,36.45
-12,40,36.98
-12,50,202.83
-6,0,37.37
-6,10,38.28
-6,20,38.27
-6,30,38.34
-6,40,188.48
-6,50,203.17
0,0,39.12
0,10,76.23
0,20,182.68
0,30,41.24
0,40,184.43
0,50,202.86
6,0,39.83
6,10,42.79
6,20,41.50
6,30,41.53
6,40,186.37
6,50,204.48
12,0,74.78
12,10,74.80
12,20,79.48
12,30,184.57
12,40,187.56
12,50,204.34
18,0,75.68
18,10,75.70
18,20,106.59
18,30,109.94
18,40,206.31
18,50,205.41
