x,y,Distance
-18,0,1182.01
-18,6,1182.38
-18,12,1182.52
-18,18,1182.20
-18,24,1182.44
-18,30,1182.44
-12,0,45.17
-12,6,42.55
-12,12,38.37
-12,18,40.92
-12,24,1182.55
-12,30,1182.40
-6,0,36.60
-6,6,37.37
-6,12,41.40
-6,18,37.57
-6,24,40.75
-6,30,1182.47
0,0,43.93
0,6,1182.37
0,12,1182.37
0,18,708.58
0,24,40.68
0,30,708.15
6,0,39.66
6,6,706.45
6,12,705.45
6,18,471.05
6,24,471.89
6,30,708.42
12,0,1182.52
12,6,190.03
12,12,708.65
12,18,706.96
12,24,708.59
12,30,1182.49
18,0,187.61
18,6,188.89
18,12,188.45
18,18,189.79
18,24,708.48
18,30,706.78
