-18,0,35.79
-18,10,36.74
-18,20,37.67
-18,30,105.71
-18,40,107.07
-18,50,205.33
-12,0,36.04
-12,10,36.62
-12,20,37.98
-12,30,140.63
-12,40,106.76
-12,50,205.73
-6,0,36.81
-6,10,37.16
-6,20,39.03
-6,30,106.40
-6,40,189.92
-6,50,207.23
0,0,37.52
0,10,37.88
0,20,38.88
0,30,76.19
0,40,206.74
0,50,207.15
6,0,38.74
6,10,38.81
6,20,41.70
6,30,75.87
6,40,205.97
6,50,207.28
12,0,40.00
12,10,40.87
12,20,76.53
12,30,187.56
12,40,188.53
12,50,189.91
18,0,41.87
18,10,43.16
18,20,188.60
18,30,110.50
18,40,189.19
18,50,208.45
